"","Age.at.which.Full.Time.Education.Ceased","Sex","CensusYear","Province.County.or.City","Highest.Level.of.Education.Completed","value"
"9540","Full-time education not ceased - Other","Male","2011","State","Lower secondary",NA
"9541","Total persons","Female","2011","State","Lower secondary",231297
"9542","Total whose full-time education has ceased","Female","2011","State","Lower secondary",231297
"9543","Under 15 years","Female","2011","State","Lower secondary",11782
"9544","15 years","Female","2011","State","Lower secondary",32587
"9545","16 years","Female","2011","State","Lower secondary",68407
"9546","17 years","Female","2011","State","Lower secondary",34067
"9547","18 years","Female","2011","State","Lower secondary",15118
"9548","19 years","Female","2011","State","Lower secondary",2016
"9549","20 years","Female","2011","State","Lower secondary",1161
"9550","21 years","Female","2011","State","Lower secondary",487
"9551","22 years","Female","2011","State","Lower secondary",283
"9552","23 years","Female","2011","State","Lower secondary",153
"9553","24 years","Female","2011","State","Lower secondary",149
"9554","25 years and over","Female","2011","State","Lower secondary",1142
"9555","Not stated","Female","2011","State","Lower secondary",63945
"9556","Total whose full-time education has not ceased","Female","2011","State","Lower secondary",NA
"9557","Full-time education not ceased - Total at school, university, etc.","Female","2011","State","Lower secondary",NA
"9558","Full-time education not ceased - Other","Female","2011","State","Lower secondary",NA
"9559","Total persons","Both sexes","2011","Leinster","Lower secondary",259145
"9560","Total whose full-time education has ceased","Both sexes","2011","Leinster","Lower secondary",259145
"9561","Under 15 years","Both sexes","2011","Leinster","Lower secondary",14783
"9562","15 years","Both sexes","2011","Leinster","Lower secondary",42332
"9563","16 years","Both sexes","2011","Leinster","Lower secondary",81066
"9564","17 years","Both sexes","2011","Leinster","Lower secondary",34059
"9565","18 years","Both sexes","2011","Leinster","Lower secondary",13964
"9566","19 years","Both sexes","2011","Leinster","Lower secondary",1922
"9567","20 years","Both sexes","2011","Leinster","Lower secondary",1199
"9568","21 years","Both sexes","2011","Leinster","Lower secondary",495
"9569","22 years","Both sexes","2011","Leinster","Lower secondary",295
"9570","23 years","Both sexes","2011","Leinster","Lower secondary",165
"9571","24 years","Both sexes","2011","Leinster","Lower secondary",149
"9572","25 years and over","Both sexes","2011","Leinster","Lower secondary",1100
"9573","Not stated","Both sexes","2011","Leinster","Lower secondary",67616
"9574","Total whose full-time education has not ceased","Both sexes","2011","Leinster","Lower secondary",NA
"9575","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Leinster","Lower secondary",NA
"9576","Full-time education not ceased - Other","Both sexes","2011","Leinster","Lower secondary",NA
"9577","Total persons","Male","2011","Leinster","Lower secondary",135579
"9578","Total whose full-time education has ceased","Male","2011","Leinster","Lower secondary",135579
"9579","Under 15 years","Male","2011","Leinster","Lower secondary",7902
"9580","15 years","Male","2011","Leinster","Lower secondary",23767
"9581","16 years","Male","2011","Leinster","Lower secondary",43916
"9582","17 years","Male","2011","Leinster","Lower secondary",16302
"9583","18 years","Male","2011","Leinster","Lower secondary",6604
"9584","19 years","Male","2011","Leinster","Lower secondary",924
"9585","20 years","Male","2011","Leinster","Lower secondary",660
"9586","21 years","Male","2011","Leinster","Lower secondary",264
"9587","22 years","Male","2011","Leinster","Lower secondary",149
"9588","23 years","Male","2011","Leinster","Lower secondary",85
"9589","24 years","Male","2011","Leinster","Lower secondary",71
"9590","25 years and over","Male","2011","Leinster","Lower secondary",497
"9591","Not stated","Male","2011","Leinster","Lower secondary",34438
"9592","Total whose full-time education has not ceased","Male","2011","Leinster","Lower secondary",NA
"9593","Full-time education not ceased - Total at school, university, etc.","Male","2011","Leinster","Lower secondary",NA
"9594","Full-time education not ceased - Other","Male","2011","Leinster","Lower secondary",NA
"9595","Total persons","Female","2011","Leinster","Lower secondary",123566
"9596","Total whose full-time education has ceased","Female","2011","Leinster","Lower secondary",123566
"9597","Under 15 years","Female","2011","Leinster","Lower secondary",6881
"9598","15 years","Female","2011","Leinster","Lower secondary",18565
"9599","16 years","Female","2011","Leinster","Lower secondary",37150
"9600","17 years","Female","2011","Leinster","Lower secondary",17757
"9601","18 years","Female","2011","Leinster","Lower secondary",7360
"9602","19 years","Female","2011","Leinster","Lower secondary",998
"9603","20 years","Female","2011","Leinster","Lower secondary",539
"9604","21 years","Female","2011","Leinster","Lower secondary",231
"9605","22 years","Female","2011","Leinster","Lower secondary",146
"9606","23 years","Female","2011","Leinster","Lower secondary",80
"9607","24 years","Female","2011","Leinster","Lower secondary",78
"9608","25 years and over","Female","2011","Leinster","Lower secondary",603
"9609","Not stated","Female","2011","Leinster","Lower secondary",33178
"9610","Total whose full-time education has not ceased","Female","2011","Leinster","Lower secondary",NA
"9611","Full-time education not ceased - Total at school, university, etc.","Female","2011","Leinster","Lower secondary",NA
"9612","Full-time education not ceased - Other","Female","2011","Leinster","Lower secondary",NA
"9613","Total persons","Both sexes","2011","Carlow","Lower secondary",6663
"9614","Total whose full-time education has ceased","Both sexes","2011","Carlow","Lower secondary",6663
"9615","Under 15 years","Both sexes","2011","Carlow","Lower secondary",346
"9616","15 years","Both sexes","2011","Carlow","Lower secondary",894
"9617","16 years","Both sexes","2011","Carlow","Lower secondary",1939
"9618","17 years","Both sexes","2011","Carlow","Lower secondary",871
"9619","18 years","Both sexes","2011","Carlow","Lower secondary",401
"9620","19 years","Both sexes","2011","Carlow","Lower secondary",44
"9621","20 years","Both sexes","2011","Carlow","Lower secondary",33
"9622","21 years","Both sexes","2011","Carlow","Lower secondary",13
"9623","22 years","Both sexes","2011","Carlow","Lower secondary",6
"9624","23 years","Both sexes","2011","Carlow","Lower secondary",4
"9625","24 years","Both sexes","2011","Carlow","Lower secondary",5
"9626","25 years and over","Both sexes","2011","Carlow","Lower secondary",23
"9627","Not stated","Both sexes","2011","Carlow","Lower secondary",2084
"9628","Total whose full-time education has not ceased","Both sexes","2011","Carlow","Lower secondary",NA
"9629","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Carlow","Lower secondary",NA
"9630","Full-time education not ceased - Other","Both sexes","2011","Carlow","Lower secondary",NA
"9631","Total persons","Male","2011","Carlow","Lower secondary",3737
"9632","Total whose full-time education has ceased","Male","2011","Carlow","Lower secondary",3737
"9633","Under 15 years","Male","2011","Carlow","Lower secondary",214
"9634","15 years","Male","2011","Carlow","Lower secondary",538
"9635","16 years","Male","2011","Carlow","Lower secondary",1118
"9636","17 years","Male","2011","Carlow","Lower secondary",469
"9637","18 years","Male","2011","Carlow","Lower secondary",195
"9638","19 years","Male","2011","Carlow","Lower secondary",26
"9639","20 years","Male","2011","Carlow","Lower secondary",20
"9640","21 years","Male","2011","Carlow","Lower secondary",9
"9641","22 years","Male","2011","Carlow","Lower secondary",4
"9642","23 years","Male","2011","Carlow","Lower secondary",3
"9643","24 years","Male","2011","Carlow","Lower secondary",3
"9644","25 years and over","Male","2011","Carlow","Lower secondary",11
"9645","Not stated","Male","2011","Carlow","Lower secondary",1127
"9646","Total whose full-time education has not ceased","Male","2011","Carlow","Lower secondary",NA
"9647","Full-time education not ceased - Total at school, university, etc.","Male","2011","Carlow","Lower secondary",NA
"9648","Full-time education not ceased - Other","Male","2011","Carlow","Lower secondary",NA
"9649","Total persons","Female","2011","Carlow","Lower secondary",2926
"9650","Total whose full-time education has ceased","Female","2011","Carlow","Lower secondary",2926
"9651","Under 15 years","Female","2011","Carlow","Lower secondary",132
"9652","15 years","Female","2011","Carlow","Lower secondary",356
"9653","16 years","Female","2011","Carlow","Lower secondary",821
"9654","17 years","Female","2011","Carlow","Lower secondary",402
"9655","18 years","Female","2011","Carlow","Lower secondary",206
"9656","19 years","Female","2011","Carlow","Lower secondary",18
"9657","20 years","Female","2011","Carlow","Lower secondary",13
"9658","21 years","Female","2011","Carlow","Lower secondary",4
"9659","22 years","Female","2011","Carlow","Lower secondary",2
"9660","23 years","Female","2011","Carlow","Lower secondary",1
"9661","24 years","Female","2011","Carlow","Lower secondary",2
"9662","25 years and over","Female","2011","Carlow","Lower secondary",12
"9663","Not stated","Female","2011","Carlow","Lower secondary",957
"9664","Total whose full-time education has not ceased","Female","2011","Carlow","Lower secondary",NA
"9665","Full-time education not ceased - Total at school, university, etc.","Female","2011","Carlow","Lower secondary",NA
"9666","Full-time education not ceased - Other","Female","2011","Carlow","Lower secondary",NA
"9667","Total persons","Both sexes","2011","Dublin","Lower secondary",115396
"9668","Total whose full-time education has ceased","Both sexes","2011","Dublin","Lower secondary",115396
"9669","Under 15 years","Both sexes","2011","Dublin","Lower secondary",7367
"9670","15 years","Both sexes","2011","Dublin","Lower secondary",20325
"9671","16 years","Both sexes","2011","Dublin","Lower secondary",35519
"9672","17 years","Both sexes","2011","Dublin","Lower secondary",14088
"9673","18 years","Both sexes","2011","Dublin","Lower secondary",6089
"9674","19 years","Both sexes","2011","Dublin","Lower secondary",857
"9675","20 years","Both sexes","2011","Dublin","Lower secondary",603
"9676","21 years","Both sexes","2011","Dublin","Lower secondary",232
"9677","22 years","Both sexes","2011","Dublin","Lower secondary",146
"9678","23 years","Both sexes","2011","Dublin","Lower secondary",93
"9679","24 years","Both sexes","2011","Dublin","Lower secondary",86
"9680","25 years and over","Both sexes","2011","Dublin","Lower secondary",613
"9681","Not stated","Both sexes","2011","Dublin","Lower secondary",29378
"9682","Total whose full-time education has not ceased","Both sexes","2011","Dublin","Lower secondary",NA
"9683","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Dublin","Lower secondary",NA
"9684","Full-time education not ceased - Other","Both sexes","2011","Dublin","Lower secondary",NA
"9685","Total persons","Male","2011","Dublin","Lower secondary",56612
"9686","Total whose full-time education has ceased","Male","2011","Dublin","Lower secondary",56612
"9687","Under 15 years","Male","2011","Dublin","Lower secondary",3498
"9688","15 years","Male","2011","Dublin","Lower secondary",10573
"9689","16 years","Male","2011","Dublin","Lower secondary",17963
"9690","17 years","Male","2011","Dublin","Lower secondary",6244
"9691","18 years","Male","2011","Dublin","Lower secondary",2859
"9692","19 years","Male","2011","Dublin","Lower secondary",411
"9693","20 years","Male","2011","Dublin","Lower secondary",334
"9694","21 years","Male","2011","Dublin","Lower secondary",120
"9695","22 years","Male","2011","Dublin","Lower secondary",76
"9696","23 years","Male","2011","Dublin","Lower secondary",42
"9697","24 years","Male","2011","Dublin","Lower secondary",41
"9698","25 years and over","Male","2011","Dublin","Lower secondary",269
"9699","Not stated","Male","2011","Dublin","Lower secondary",14182
"9700","Total whose full-time education has not ceased","Male","2011","Dublin","Lower secondary",NA
"9701","Full-time education not ceased - Total at school, university, etc.","Male","2011","Dublin","Lower secondary",NA
"9702","Full-time education not ceased - Other","Male","2011","Dublin","Lower secondary",NA
"9703","Total persons","Female","2011","Dublin","Lower secondary",58784
"9704","Total whose full-time education has ceased","Female","2011","Dublin","Lower secondary",58784
"9705","Under 15 years","Female","2011","Dublin","Lower secondary",3869
"9706","15 years","Female","2011","Dublin","Lower secondary",9752
"9707","16 years","Female","2011","Dublin","Lower secondary",17556
"9708","17 years","Female","2011","Dublin","Lower secondary",7844
"9709","18 years","Female","2011","Dublin","Lower secondary",3230
"9710","19 years","Female","2011","Dublin","Lower secondary",446
"9711","20 years","Female","2011","Dublin","Lower secondary",269
"9712","21 years","Female","2011","Dublin","Lower secondary",112
